,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart Feinst10,2105,1749,1813,1846,1832,1879,1798,1731,2150,2466,2498,2303,2401,2081,2004,2021,2332,1889,1966,2244,2117,2191
Luftemissionsart HFC,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,11553707,11327695,11511348,10985483,11707812,8953849,8637844,8589591,9068161,8343112,15300185,10260843,11740330,11183858,10110753,11106277,10193476,9748541,10405895,10376012,11115592,9635537
Luftemissionsart CH4,992,944,934,874,901,827,792,744,769,741,965,833,907,847,826,864,807,772,841,845,906,798
Luftemissionsart N2O,238,229,226,195,231,183,190,169,176,166,225,189,204,242,197,205,198,175,191,192,219,164
Luftemissionsart NOX,11360,10934,11056,10111,10619,10234,10005,9573,9837,9454,11303,10837,11638,12031,10945,12051,11116,10196,10591,10452,11097,9714
Luftemissionsart SO2,11452,11027,10657,7896,7953,5969,5866,5664,5918,6164,6112,5325,4970,7500,5590,5572,5033,4696,4691,4797,5064,3279
Luftemissionsart NMVOC,1449,1369,1312,1197,1173,1995,2082,2058,1881,2624,3081,3977,4230,4285,4188,4165,4263,4295,4354,4486,4532,4421
Luftemissionsart NH3,99,90,78,75,60,45,43,44,42,38,40,42,45,44,42,60,53,47,64,58,72,70
Luftemissionsart Feinst10,1006,965,993,809,744,664,581,680,717,682,679,616,582,653,575,600,516,491,478,474,546,478
Luftemissionsart HFC,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,650741,700365,668495,697197,733510,810209,874538,863398,789330,799167,1007475,985147,915399,901296,866731,870874,770799,822664,831106,819114,818108,735098
Luftemissionsart CH4,95,83,87,64,66,72,72,70,60,62,70,70,67,58,64,62,58,60,62,62,63,54
Luftemissionsart N2O,9,9,9,9,9,11,11,11,11,11,11,11,11,11,10,10,9,10,10,11,11,10
Luftemissionsart NOX,1097,1103,1086,1108,1167,1230,1275,1255,1179,1134,1122,1092,1008,991,911,864,747,764,731,798,737,657
